count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 0,  0.460, -1.286,  0.000, 
2, 0,  0.325, -1.303,  0.000, 
2, 0, -0.417,  6.017,  0.000, 
2, 0,  3.076,  4.844,  0.000, 
2, 0,  5.324, -4.106,  0.000, 
2, 0,  7.982,  6.233,  0.000, 
2, 0,  5.648, -3.717,  0.000, 
2, 0,  3.802,  4.752,  0.000, 
2, 0, 13.672, -3.917,  0.000, 
2, 0, -0.441,  5.851,  0.000, 
2, 0, -0.117, -1.454,  0.000, 
2, 0, 28.616,  7.033,  0.000, 
2, 0,  8.339,  5.583,  0.000, 
2, 0,  9.370,  4.998,  0.000, 

3, 0,  0.337, -1.294,  0.000, 
3, 0, -0.410,  6.000,  0.000, 
3, 0,  3.090,  4.822,  0.000, 
3, 0,  5.343, -3.774,  0.000, 
3, 0,  7.953,  5.860,  0.000, 
3, 0, 13.671, -3.931,  0.000, 
3, 0, -0.119, -1.458,  0.000, 
3, 0,  0.492, -1.268,  0.000, 
3, 0, 10.142, -2.247,  0.000, 
3, 0, -0.311, -4.424,  0.000, 
3, 0,  0.279, -5.959,  0.000, 

4, 0,  0.342, -1.292,  0.000, 
4, 0, -0.517,  5.978,  0.000, 
4, 0,  5.340, -3.772,  0.000, 
4, 0, 13.693, -3.923,  0.000, 
4, 0, -0.127, -1.467,  0.000, 
4, 0, 10.113, -2.272,  0.000, 
4, 0, -0.363, -4.407,  0.000, 
4, 0,  0.124, -5.985,  0.000, 

5, 0,  0.438, -1.279,  0.000, 
5, 0, -0.409,  5.993,  0.000, 
5, 0,  5.340, -3.772,  0.000, 
5, 0, 13.663, -3.944,  0.000, 
5, 0, -0.126, -1.455,  0.000, 
5, 0, 10.142, -2.257,  0.000, 
5, 0, -0.369, -4.422,  0.000, 
5, 0,  8.007,  5.826,  0.000, 
5, 0,  0.168,  8.063,  0.000, 
5, 0,  3.099,  4.837,  0.000, 

6, 0,  0.329, -1.307,  0.000, 
6, 0, -0.415,  5.993,  0.000, 
6, 0,  5.343, -3.759,  0.000, 
6, 0, 13.697, -3.909,  0.000, 
6, 0, -0.116, -1.458,  0.000, 
6, 0, -0.342, -4.415,  0.000, 
