count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 0, -11.015, -13.544,  0.000, 
2, 0, -11.743, -13.005,  0.000, 
2, 0, -5.310, -21.981,  0.000, 
2, 0, -1.930, -21.454,  0.000, 
2, 0, -19.824, -28.844,  0.000, 

3, 0, -11.051, -13.545,  0.000, 
3, 0, -11.772, -12.974,  0.000, 
3, 0, -19.576, -28.868,  0.000, 
3, 0, -11.546, -22.387,  0.000, 
3, 0, -22.912, -21.021,  0.000, 
3, 0, -22.278, -28.156,  0.000, 
3, 0, -13.139, -49.787,  0.000, 
3, 0, -6.041, -21.822,  0.000, 

4, 0, -11.044, -13.521,  0.000, 
4, 0, -11.787, -12.974,  0.000, 
4, 0, -19.620, -28.796,  0.000, 
4, 0, -11.542, -22.356,  0.000, 
4, 0, -23.002, -21.740,  0.000, 
4, 0, -6.046, -21.816,  0.000, 
4, 0, -11.021, -13.543,  0.000, 

5, 0, -11.037, -13.525,  0.000, 
5, 0, -11.786, -12.990,  0.000, 
5, 0, -19.586, -28.850,  0.000, 
5, 0, -11.544, -22.395,  0.000, 

6, 0, -11.048, -13.523,  0.000, 
6, 0, -11.753, -12.976,  0.000, 
6, 0, -19.628, -28.815,  0.000, 
6, 0, -11.549, -22.376,  0.000, 
6, 0, -11.022, -13.554,  0.000, 
6, 0, -22.958, -21.753,  0.000, 
6, 0, -13.139, -49.756,  0.000, 

7, 0, -11.037, -13.548,  0.000, 
7, 0, -11.767, -12.975,  0.000, 
7, 0, -11.555, -22.392,  0.000, 
7, 0, -11.013, -13.544,  0.000, 
7, 0, -22.966, -21.778,  0.000, 
7, 0, -15.305, -12.814,  0.000, 

8, 0, -11.028, -13.528,  0.000, 
8, 0, -11.786, -12.990,  0.000, 
8, 0, -11.563, -22.404,  0.000, 
8, 0, -15.180, -12.812,  0.000, 
8, 0, -15.184, -12.891,  0.000, 
8, 0, -15.376, -14.029,  0.000, 
8, 0, -6.020, -21.847,  0.000, 

9, 0, -11.027, -13.542,  0.000, 
9, 0, -11.779, -12.989,  0.000, 
9, 0, -15.188, -12.887,  0.000, 
9, 0, -15.176, -12.832,  0.000, 
9, 0, -6.071, -21.820,  0.000, 
9, 0, -11.063, -13.777,  0.000, 

10, 0, -11.044, -13.524,  0.000, 
10, 0, -11.758, -12.976,  0.000, 
10, 0, -6.050, -21.829,  0.000, 
10, 0, -11.019, -13.555,  0.000, 
10, 0, -15.377, -13.806,  0.000, 
10, 0, -11.546, -22.390,  0.000, 
10, 0, -15.351, -14.025,  0.000, 

11, 0, -11.041, -13.524,  0.000, 
11, 0, -11.764, -12.988,  0.000, 
11, 0, -6.050, -21.793,  0.000, 
11, 0, -11.549, -22.372,  0.000, 
11, 0, -15.467, -15.465,  0.000, 
11, 0, -15.459, -15.602,  0.000, 

12, 0, -11.031, -13.527,  0.000, 
12, 0, -11.773, -12.974,  0.000, 
12, 0, -6.034, -21.813,  0.000, 
12, 0, -11.551, -22.360,  0.000, 
12, 0, -16.885, -17.278,  0.000, 
12, 0, -16.071, -17.118,  0.000, 
12, 0, -11.014, -13.547,  0.000, 
12, 0, -15.460, -17.111,  0.000, 
12, 0, -22.949, -21.762,  0.000, 

13, 0, -11.042, -13.526,  0.000, 
13, 0, -11.767, -12.972,  0.000, 
13, 0, -6.049, -21.812,  0.000, 
13, 0, -11.555, -22.391,  0.000, 
13, 0, -22.920, -21.028,  0.000, 
13, 0, -15.617, -18.645,  0.000, 
13, 0, -16.348, -18.698,  0.000, 

14, 0, -11.043, -13.549,  0.000, 
14, 0, -11.753, -12.991,  0.000, 
14, 0, -6.068, -21.808,  0.000, 
14, 0, -22.985, -21.759,  0.000, 
14, 0, -11.021, -13.555,  0.000, 
14, 0, -22.964, -13.321,  0.000, 

15, 0, -11.031, -13.527,  0.000, 
15, 0, -6.047, -21.832,  0.000, 
15, 0, -22.979, -21.789,  0.000, 
15, 0, -11.019, -13.555,  0.000, 
15, 0, -10.936, -13.531,  0.000, 
15, 0, -11.549, -22.372,  0.000, 
15, 0, -14.990, -21.034,  0.000, 

16, 0, -11.045, -13.524,  0.000, 
16, 0, -6.041, -21.805,  0.000, 
16, 0, -22.916, -21.024,  0.000, 
16, 0, -11.538, -22.380,  0.000, 
16, 0, -11.790, -12.973,  0.000, 

17, 0, -11.031, -13.527,  0.000, 
17, 0, -22.957, -21.752,  0.000, 
17, 0, -11.547, -22.384,  0.000, 
17, 0, -11.768, -12.990,  0.000, 
17, 0, -11.009, -13.551,  0.000, 
17, 0, -19.626, -28.854,  0.000, 
17, 0, -16.117, -22.440,  0.000, 

18, 0, -11.044, -13.524,  0.000, 
18, 0, -22.972, -21.783,  0.000, 
18, 0, -11.524, -22.401,  0.000, 
18, 0, -11.754, -12.973,  0.000, 
18, 0, -19.554, -28.858,  0.000, 
18, 0, -15.309, -22.995,  0.000, 
18, 0, -11.015, -13.554,  0.000, 

19, 0, -11.044, -13.524,  0.000, 
19, 0, -22.908, -21.034,  0.000, 
19, 0, -11.789, -12.972,  0.000, 
19, 0, -19.594, -28.822,  0.000, 
19, 0, -11.018, -13.551,  0.000, 
19, 0, -6.025, -21.843,  0.000, 

20, 0, -11.039, -13.520,  0.000, 
20, 0, -22.963, -21.757,  0.000, 
20, 0, -11.771, -12.986,  0.000, 
20, 0, -19.609, -28.858,  0.000, 
20, 0, -6.019, -21.831,  0.000, 
20, 0, -11.544, -22.397,  0.000, 
20, 0, -15.609, -24.478,  0.000, 

21, 0, -11.058, -13.521,  0.000, 
21, 0, -22.950, -21.781,  0.000, 
21, 0, -11.776, -12.987,  0.000, 
21, 0, -19.618, -28.836,  0.000, 
21, 0, -6.052, -21.827,  0.000, 
21, 0, -11.518, -22.386,  0.000, 
21, 0, -15.784, -25.383,  0.000, 

22, 0, -11.058, -13.522,  0.000, 
22, 0, -22.970, -21.745,  0.000, 
22, 0, -11.744, -12.983,  0.000, 
22, 0, -19.713, -28.813,  0.000, 
22, 0, -6.022, -21.828,  0.000, 
22, 0, -11.553, -22.423,  0.000, 
22, 0, -16.027, -26.363,  0.000, 
22, 0, -14.885, -26.544,  0.000, 

23, 0, -11.056, -13.641,  0.000, 
23, 0, -22.972, -21.816,  0.000, 
23, 0, -11.742, -13.013,  0.000, 
23, 0, -19.619, -27.006,  0.000, 
23, 0, -11.580, -22.470,  0.000, 
23, 0, -11.028, -13.650,  0.000, 

