count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
86, 0, -13.277, -36.592,  0.000,  0.000,  0.000, -1.669, 
87, 0, -13.309, -36.987,  0.000,  0.000,  0.000, -1.654, 
88, 0, -13.338, -37.380,  0.000,  0.000,  0.000, -1.646, 
89, 0, -13.352, -37.777,  0.000,  0.000,  0.000, -1.610, 
90, 0, -13.364, -38.172,  0.000,  0.000,  0.000, -1.602, 
91, 0, -13.384, -38.563,  0.000,  0.000,  0.000, -1.624, 
92, 0, -13.413, -38.951,  0.000,  0.000,  0.000, -1.638, 
93, 0, -13.447, -39.341,  0.000,  0.000,  0.000, -1.667, 
94, 0, -13.521, -39.729,  0.000,  0.000,  0.000, -1.767, 
95, 0, -13.597, -40.086,  0.000,  0.000,  0.000, -1.775, 
96, 0, -13.636, -40.399,  0.000,  0.000,  0.000, -1.687, 
97, 0, -13.625, -40.747,  0.000,  0.000,  0.000, -1.543, 
98, 0, -13.546, -41.109,  0.000,  0.000,  0.000, -1.338, 
99, 0, -13.394, -41.437,  0.000,  0.000,  0.000, -1.133, 
100, 0, -13.224, -41.637,  0.000,  0.000,  0.000, -0.899, 
101, 0, -13.094, -41.757,  0.000,  0.000,  0.000, -0.803, 
102, 0, -12.934, -41.889,  0.000,  0.000,  0.000, -0.715, 
103, 0, -12.774, -42.004,  0.000,  0.000,  0.000, -0.645, 
104, 0, -12.668, -42.055,  0.000,  0.000,  0.000, -0.551, 
105, 0, -12.568, -42.104,  0.000,  0.000,  0.000, -0.503, 
106, 0, -12.468, -42.150,  0.000,  0.000,  0.000, -0.481, 
107, 0, -12.339, -42.206,  0.000,  0.000,  0.000, -0.431, 
108, 0, -12.124, -42.211,  0.000,  0.000,  0.000, -0.114, 
109, 0, -11.848, -42.172,  0.000,  0.000, -0.000,  0.096, 
110, 0, -11.597, -42.184,  0.000,  0.000,  0.000, -0.033, 
111, 0, -11.310, -42.222,  0.000,  0.000,  0.000, -0.111, 
112, 0, -11.080, -42.242,  0.000,  0.000,  0.000, -0.094, 
113, 0, -10.851, -42.305,  0.000,  0.000,  0.000, -0.226, 
114, 0, -10.682, -42.346,  0.000,  0.000,  0.000, -0.230, 
115, 0, -10.603, -42.365,  0.000,  0.000,  0.000, -0.228, 
116, 0, -10.457, -42.404,  0.000,  0.000,  0.000, -0.251, 
117, 0, -10.252, -42.458,  0.000,  0.000,  0.000, -0.256, 
118, 0, -9.995, -42.517,  0.000,  0.000,  0.000, -0.227, 
119, 0, -9.700, -42.569,  0.000,  0.000,  0.000, -0.175, 
