count, time, abs_prox_x, abs_prox_y, abs_prox_z, 



4, 0,  0.373, -1.322,  0.000, 
4, 0,  9.759,  3.743,  0.000, 
4, 0, -0.403,  5.686,  0.000, 
4, 0,  8.177,  5.471,  0.000, 
4, 0,  0.643,  7.998,  0.000, 
4, 0, 10.093, -2.663,  0.000, 
4, 0,  5.166, -3.923,  0.000, 

5, 0,  0.363, -1.313,  0.000, 
5, 0, -0.408,  5.678,  0.000, 
5, 0,  8.267,  5.282,  0.000, 
5, 0, 10.009, -2.630,  0.000, 
5, 0,  5.178, -3.940,  0.000, 
5, 0,  0.225, -1.343,  0.000, 

6, 0,  0.262, -1.320,  0.000, 
6, 0, -0.414,  5.667,  0.000, 
6, 0,  8.284,  5.364,  0.000, 
6, 0, 10.085, -2.650,  0.000, 
6, 0,  5.161, -3.992,  0.000, 
6, 0,  0.411, -1.315,  0.000, 
6, 0,  3.252,  4.667,  0.000, 
6, 0, 10.906,  3.853,  0.000, 

7, 0,  0.367, -1.308,  0.000, 
7, 0, -0.409,  5.681,  0.000, 
7, 0,  8.271,  5.251,  0.000, 
7, 0, 10.072, -2.647,  0.000, 
7, 0,  5.173, -3.929,  0.000, 
7, 0,  3.252,  4.667,  0.000, 
7, 0, 11.419,  3.870,  0.000, 
7, 0,  0.212, -1.337,  0.000, 
7, 0,  2.583,  8.073,  0.000, 
7, 0,  0.069, -5.999,  0.000, 

8, 0,  0.366, -1.308,  0.000, 
8, 0, -0.418,  5.663,  0.000, 
8, 0,  5.163, -3.985,  0.000, 
8, 0,  3.225,  4.677,  0.000, 
8, 0, 11.921,  3.910,  0.000, 
8, 0,  0.227, -1.340,  0.000, 
8, 0,  0.028, -5.990,  0.000, 

9, 0,  0.395, -1.310,  0.000, 
9, 0, -0.414,  5.697,  0.000, 
9, 0,  5.191, -3.929,  0.000, 
9, 0,  3.084,  4.785,  0.000, 
9, 0,  0.063, -5.990,  0.000, 
9, 0,  8.302,  5.221,  0.000, 
9, 0,  0.248, -1.329,  0.000, 
9, 0, 28.725,  6.074,  0.000, 
9, 0,  0.713, -4.702,  0.000, 

10, 0,  0.436, -1.317,  0.000, 
10, 0,  3.304,  4.660,  0.000, 
10, 0,  8.388,  5.201,  0.000, 
10, 0,  0.305, -1.338,  0.000, 
10, 0, -0.222,  5.394,  0.000, 
10, 0, 29.178,  4.374,  0.000, 

11, 0,  0.578, -1.296,  0.000, 
11, 0, -0.302,  5.788,  0.000, 
11, 0, 13.899,  3.670,  0.000, 
11, 0,  5.192, -4.064,  0.000, 

12, 0,  0.615, -1.300,  0.000, 
12, 0,  5.276, -3.948,  0.000, 
12, 0,  0.779, -4.673,  0.000, 
12, 0,  9.009,  4.879,  0.000, 
12, 0,  8.452,  5.240,  0.000, 

13, 0,  5.291, -3.943,  0.000, 
13, 0,  0.754, -4.692,  0.000, 
13, 0,  8.427,  5.266,  0.000, 
13, 0,  3.308,  4.696,  0.000, 
13, 0,  3.741,  4.566,  0.000, 
13, 0,  1.482, -6.006,  0.000, 
13, 0, 14.974,  3.743,  0.000, 
13, 0,  2.981,  5.470,  0.000, 

14, 0,  5.267, -3.963,  0.000, 
