count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
19, 0, -12.458, -139.961,  0.000, 
19, 0, -24.509, -127.385,  0.000, 
19, 0, -18.329, -138.199,  0.000, 
19, 0, -12.439, -140.266,  0.000, 
19, 0, -18.153, -140.109,  0.000, 
19, 0, -30.417, -139.382,  0.000, 
19, 0, -19.069, -138.410,  0.000, 
19, 0, -19.056, -138.379,  0.000, 
19, 0, -17.803, -134.065,  0.000, 
19, 0, -18.138, -135.557,  0.000, 
19, 0, -18.054, -136.719,  0.000, 
19, 0, -17.826, -124.570,  0.000, 

20, 0, -13.001, -136.264,  0.000, 
20, 0, -18.542, -137.691,  0.000, 
20, 0, -12.417, -139.408,  0.000, 
20, 0, -24.308, -127.211,  0.000, 
20, 0, -12.406, -139.818,  0.000, 
20, 0, -18.188, -140.045,  0.000, 
20, 0, -18.075, -136.753,  0.000, 
20, 0, -12.372, -139.757,  0.000, 

21, 0, -13.101, -136.209,  0.000, 
21, 0, -18.446, -137.643,  0.000, 
21, 0, -12.444, -139.061,  0.000, 
21, 0, -24.422, -127.249,  0.000, 
21, 0, -12.462, -139.351,  0.000, 
21, 0, -18.083, -136.740,  0.000, 
21, 0, -30.390, -138.754,  0.000, 
21, 0, -12.454, -138.552,  0.000, 
21, 0, -18.981, -138.267,  0.000, 

22, 0, -13.118, -136.193,  0.000, 
22, 0, -18.445, -137.673,  0.000, 
22, 0, -12.454, -138.553,  0.000, 
22, 0, -24.365, -127.257,  0.000, 
22, 0, -12.302, -137.996,  0.000, 
22, 0, -12.374, -137.945,  0.000, 
22, 0, -18.306, -138.167,  0.000, 
22, 0, -17.286, -130.286,  0.000, 
22, 0, -16.164, -122.849,  0.000, 

23, 0, -13.120, -136.205,  0.000, 
23, 0, -18.429, -137.603,  0.000, 
23, 0, -12.172, -138.049,  0.000, 
23, 0, -24.352, -127.242,  0.000, 
23, 0, -18.270, -138.134,  0.000, 
23, 0, -16.239, -122.903,  0.000, 
23, 0, -17.487, -132.039,  0.000, 
23, 0, -11.416, -138.518,  0.000, 
23, 0, -18.129, -136.798,  0.000, 
23, 0, -11.421, -138.496,  0.000, 

24, 0, -13.154, -136.198,  0.000, 
24, 0, -18.372, -137.259,  0.000, 
24, 0, -11.413, -137.975,  0.000, 
24, 0, -16.259, -122.908,  0.000, 
24, 0, -21.659, -134.701,  0.000, 
24, 0, -18.249, -138.087,  0.000, 
24, 0, -18.075, -135.466,  0.000, 
24, 0, -12.359, -137.168,  0.000, 
24, 0, -12.041, -137.596,  0.000, 
24, 0, -12.061, -137.297,  0.000, 
24, 0, -18.135, -136.787,  0.000, 
24, 0, -30.249, -138.983,  0.000, 
24, 0, -18.425, -137.527,  0.000, 
24, 0, -19.024, -138.028,  0.000, 

25, 0, -13.136, -136.209,  0.000, 
25, 0, -18.140, -136.751,  0.000, 
25, 0, -11.403, -137.664,  0.000, 
25, 0, -16.250, -122.904,  0.000, 
25, 0, -21.540, -133.976,  0.000, 
25, 0, -18.027, -135.388,  0.000, 
25, 0, -18.275, -137.164,  0.000, 
25, 0, -18.277, -137.190,  0.000, 
25, 0, -17.876, -134.113,  0.000, 
25, 0, -12.211, -136.700,  0.000, 
25, 0, -17.519, -124.461,  0.000, 
25, 0, -20.681, -129.867,  0.000, 
25, 0, -18.262, -138.039,  0.000, 
25, 0, -24.379, -127.185,  0.000, 

26, 0, -13.080, -136.179,  0.000, 
26, 0, -18.100, -136.701,  0.000, 
26, 0, -11.396, -137.454,  0.000, 
26, 0, -18.225, -137.107,  0.000, 
26, 0, -17.741, -133.968,  0.000, 
26, 0, -20.461, -129.668,  0.000, 
26, 0, -24.227, -127.057,  0.000, 
26, 0, -21.792, -132.430,  0.000, 
26, 0, -18.695, -136.143,  0.000, 
26, 0, -13.121, -136.128,  0.000, 
26, 0, -15.971, -122.871,  0.000, 
26, 0, -20.515, -128.131,  0.000, 

27, 0, -13.085, -136.162,  0.000, 
27, 0, -18.047, -136.553,  0.000, 
27, 0, -11.377, -136.932,  0.000, 
27, 0, -18.256, -136.853,  0.000, 
27, 0, -20.462, -129.660,  0.000, 
27, 0, -13.601, -124.243,  0.000, 
27, 0, -18.254, -137.071,  0.000, 
27, 0, -20.461, -128.193,  0.000, 
27, 0, -15.960, -122.739,  0.000, 
