count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
2, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
3, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
4, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
5, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
6, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
7, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
8, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
9, 0, -14.591, -143.327,  0.000,  0.000, -0.000,  1.530, 
10, 0, -14.590, -143.289,  0.000,  0.000, -0.000,  1.528, 
11, 0, -14.582, -143.125,  0.000,  0.000, -0.000,  1.534, 
12, 0, -14.608, -142.788,  0.000,  0.000, -0.000,  1.655, 
13, 0, -14.643, -142.400,  0.000,  0.000, -0.000,  1.647, 
14, 0, -14.663, -142.006,  0.000,  0.000, -0.000,  1.624, 
15, 0, -14.677, -141.615,  0.000,  0.000, -0.000,  1.600, 
16, 0, -14.679, -141.220,  0.000,  0.000, -0.000,  1.576, 
17, 0, -14.677, -140.829,  0.000,  0.000, -0.000,  1.562, 
18, 0, -14.667, -140.443,  0.000,  0.000, -0.000,  1.547, 
19, 0, -14.652, -140.055,  0.000,  0.000, -0.000,  1.533, 
20, 0, -14.645, -139.665,  0.000,  0.000, -0.000,  1.554, 
21, 0, -14.643, -139.274,  0.000,  0.000, -0.000,  1.566, 
22, 0, -14.640, -138.880,  0.000,  0.000, -0.000,  1.558, 
23, 0, -14.633, -138.488,  0.000,  0.000, -0.000,  1.550, 
24, 0, -14.619, -138.095,  0.000,  0.000, -0.000,  1.534, 
25, 0, -14.596, -137.703,  0.000,  0.000, -0.000,  1.513, 
26, 0, -14.579, -137.307,  0.000,  0.000, -0.000,  1.526, 
27, 0, -14.570, -136.920,  0.000,  0.000, -0.000,  1.552, 
28, 0, -14.570, -136.522,  0.000,  0.000, -0.000,  1.570, 
29, 0, -14.569, -136.124,  0.000,  0.000, -0.000,  1.566, 
30, 0, -14.556, -135.726,  0.000,  0.000, -0.000,  1.535, 
31, 0, -14.531, -135.335,  0.000,  0.000, -0.000,  1.508, 
32, 0, -14.501, -134.937,  0.000,  0.000, -0.000,  1.494, 
33, 0, -14.465, -134.533,  0.000,  0.000, -0.000,  1.481, 
34, 0, -14.436, -134.145,  0.000,  0.000, -0.000,  1.500, 
35, 0, -14.414, -133.748,  0.000,  0.000, -0.000,  1.515, 
36, 0, -14.396, -133.351,  0.000,  0.000, -0.000,  1.523, 
37, 0, -14.374, -132.956,  0.000,  0.000, -0.000,  1.514, 
38, 0, -14.352, -132.561,  0.000,  0.000, -0.000,  1.518, 
39, 0, -14.337, -132.167,  0.000,  0.000, -0.000,  1.531, 
40, 0, -14.319, -131.772,  0.000,  0.000, -0.000,  1.526, 
41, 0, -14.302, -131.377,  0.000,  0.000, -0.000,  1.531, 
42, 0, -14.293, -130.989,  0.000,  0.000, -0.000,  1.546, 
43, 0, -14.280, -130.593,  0.000,  0.000, -0.000,  1.536, 
44, 0, -14.259, -130.196,  0.000,  0.000, -0.000,  1.513, 
45, 0, -14.232, -129.801,  0.000,  0.000, -0.000,  1.505, 
46, 0, -14.213, -129.405,  0.000,  0.000, -0.000,  1.525, 
47, 0, -14.204, -129.010,  0.000,  0.000, -0.000,  1.549, 
48, 0, -14.201, -128.618,  0.000,  0.000, -0.000,  1.564, 
49, 0, -14.197, -128.223,  0.000,  0.000, -0.000,  1.559, 
50, 0, -14.181, -127.830,  0.000,  0.000, -0.000,  1.522, 
51, 0, -14.149, -127.433,  0.000,  0.000, -0.000,  1.495, 
52, 0, -14.120, -127.041,  0.000,  0.000, -0.000,  1.500, 
