count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.004, 
2, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.004, 
3, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.004, 
4, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.004, 
5, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.004, 
6, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.003, 
7, 0,  0.034, -0.030,  0.000,  0.000,  0.000, -0.003, 
8, 0,  0.035, -0.030,  0.000,  0.000,  0.000, -0.003, 
9, 0,  0.093, -0.030,  0.000,  0.000,  0.000, -0.003, 
10, 0,  0.269, -0.027,  0.000,  0.000, -0.000,  0.014, 
11, 0,  0.530, -0.016,  0.000,  0.000, -0.000,  0.032, 
12, 0,  0.915, -0.007,  0.000,  0.000, -0.000,  0.023, 
13, 0,  1.296,  0.000,  0.000,  0.000, -0.000,  0.016, 
14, 0,  1.686,  0.007,  0.000,  0.000, -0.000,  0.019, 
15, 0,  2.071,  0.014,  0.000,  0.000, -0.000,  0.017, 
16, 0,  2.458,  0.015,  0.000,  0.000, -0.000,  0.001, 
17, 0,  2.847,  0.007,  0.000,  0.000,  0.000, -0.023, 
18, 0,  3.236, -0.008,  0.000,  0.000,  0.000, -0.039, 
19, 0,  3.623, -0.019,  0.000,  0.000,  0.000, -0.024, 
20, 0,  4.016, -0.026,  0.000,  0.000,  0.000, -0.016, 
21, 0,  4.409, -0.019,  0.000,  0.000, -0.000,  0.023, 
22, 0,  4.793, -0.007,  0.000,  0.000, -0.000,  0.029, 
23, 0,  5.186,  0.002,  0.000,  0.000, -0.000,  0.021, 
24, 0,  5.577,  0.007,  0.000,  0.000, -0.000,  0.014, 
25, 0,  5.971,  0.013,  0.000,  0.000, -0.000,  0.015, 
26, 0,  6.364,  0.014,  0.000,  0.000, -0.000,  0.005, 
27, 0,  6.756,  0.017,  0.000,  0.000, -0.000,  0.009, 
28, 0,  7.147,  0.022,  0.000,  0.000, -0.000,  0.012, 
29, 0,  7.539,  0.009,  0.000,  0.000,  0.000, -0.039, 
30, 0,  7.932, -0.021,  0.000,  0.000,  0.000, -0.068, 
31, 0,  8.329, -0.042,  0.000,  0.000,  0.000, -0.049, 
32, 0,  8.727, -0.061,  0.000,  0.000,  0.000, -0.053, 
33, 0,  9.123, -0.087,  0.000,  0.000,  0.000, -0.067, 
34, 0,  9.520, -0.116,  0.000,  0.000,  0.000, -0.071, 
35, 0,  9.903, -0.140,  0.000,  0.000,  0.000, -0.063, 
36, 0, 10.300, -0.165,  0.000,  0.000,  0.000, -0.060, 
37, 0, 10.694, -0.190,  0.000,  0.000,  0.000, -0.063, 
38, 0, 11.098, -0.212,  0.000,  0.000,  0.000, -0.051, 
39, 0, 11.494, -0.228,  0.000,  0.000,  0.000, -0.038, 
40, 0, 11.893, -0.235,  0.000,  0.000,  0.000, -0.014, 
41, 0, 12.283, -0.229,  0.000,  0.000, -0.000,  0.012, 
42, 0, 12.681, -0.222,  0.000,  0.000, -0.000,  0.020, 
43, 0, 13.078, -0.215,  0.000,  0.000, -0.000,  0.020, 
44, 0, 13.479, -0.201,  0.000,  0.000, -0.000,  0.036, 
45, 0, 13.877, -0.185,  0.000,  0.000, -0.000,  0.039, 
46, 0, 14.280, -0.175,  0.000,  0.000, -0.000,  0.021, 
47, 0, 14.683, -0.182,  0.000,  0.000,  0.000, -0.024, 
48, 0, 15.075, -0.229,  0.000,  0.000,  0.000, -0.105, 
49, 0, 15.465, -0.277,  0.000,  0.000,  0.000, -0.125, 
50, 0, 15.863, -0.331,  0.000,  0.000,  0.000, -0.133, 
51, 0, 16.263, -0.385,  0.000,  0.000,  0.000, -0.134, 
52, 0, 16.661, -0.434,  0.000,  0.000,  0.000, -0.121, 
53, 0, 17.070, -0.478,  0.000,  0.000,  0.000, -0.106, 
54, 0, 17.464, -0.515,  0.000,  0.000,  0.000, -0.091, 
55, 0, 17.856, -0.530,  0.000,  0.000,  0.000, -0.027, 
56, 0, 18.259, -0.520,  0.000,  0.000, -0.000,  0.028, 
57, 0, 18.664, -0.509,  0.000,  0.000, -0.000,  0.022, 
58, 0, 19.067, -0.501,  0.000,  0.000, -0.000,  0.023, 
59, 0, 19.471, -0.491,  0.000,  0.000, -0.000,  0.023, 
60, 0, 19.873, -0.481,  0.000,  0.000, -0.000,  0.024, 
61, 0, 20.276, -0.480,  0.000,  0.000,  0.000, -0.001, 
62, 0, 20.678, -0.489,  0.000,  0.000,  0.000, -0.018, 
63, 0, 21.078, -0.493,  0.000,  0.000,  0.000, -0.014, 
64, 0, 21.477, -0.500,  0.000,  0.000,  0.000, -0.015, 
65, 0, 21.874, -0.505,  0.000,  0.000,  0.000, -0.012, 
66, 0, 22.272, -0.511,  0.000,  0.000,  0.000, -0.015, 
67, 0, 22.669, -0.521,  0.000,  0.000,  0.000, -0.022, 
68, 0, 23.065, -0.530,  0.000,  0.000,  0.000, -0.024, 
69, 0, 23.460, -0.537,  0.000,  0.000,  0.000, -0.015, 
70, 0, 23.855, -0.542,  0.000,  0.000,  0.000, -0.013, 
71, 0, 24.252, -0.557,  0.000,  0.000,  0.000, -0.041, 
72, 0, 24.639, -0.577,  0.000,  0.000,  0.000, -0.049, 
73, 0, 25.035, -0.593,  0.000,  0.000,  0.000, -0.039, 
74, 0, 25.431, -0.603,  0.000,  0.000,  0.000, -0.027, 
75, 0, 25.828, -0.613,  0.000,  0.000,  0.000, -0.026, 
76, 0, 26.224, -0.632,  0.000,  0.000,  0.000, -0.049, 
77, 0, 26.623, -0.650,  0.000,  0.000,  0.000, -0.046, 
78, 0, 27.021, -0.670,  0.000,  0.000,  0.000, -0.046, 
79, 0, 27.408, -0.694,  0.000,  0.000,  0.000, -0.065, 
80, 0, 27.804, -0.725,  0.000,  0.000,  0.000, -0.077, 
81, 0, 28.206, -0.751,  0.000,  0.000,  0.000, -0.060, 
82, 0, 28.592, -0.769,  0.000,  0.000,  0.000, -0.047, 
83, 0, 28.983, -0.786,  0.000,  0.000,  0.000, -0.046, 
84, 0, 29.367, -0.803,  0.000,  0.000,  0.000, -0.044, 
85, 0, 29.756, -0.823,  0.000,  0.000,  0.000, -0.051, 
86, 0, 30.145, -0.837,  0.000,  0.000,  0.000, -0.036, 
87, 0, 30.535, -0.849,  0.000,  0.000,  0.000, -0.025, 
88, 0, 30.929, -0.855,  0.000,  0.000,  0.000, -0.020, 
89, 0, 31.328, -0.863,  0.000,  0.000,  0.000, -0.022, 
90, 0, 31.727, -0.878,  0.000,  0.000,  0.000, -0.040, 
91, 0, 32.127, -0.897,  0.000,  0.000,  0.000, -0.043, 
92, 0, 32.519, -0.910,  0.000,  0.000,  0.000, -0.031, 
93, 0, 32.915, -0.918,  0.000,  0.000,  0.000, -0.021, 
94, 0, 33.306, -0.919,  0.000,  0.000,  0.000, -0.004, 
95, 0, 33.713, -0.922,  0.000,  0.000,  0.000, -0.005, 
96, 0, 34.086, -0.923,  0.000,  0.000,  0.000, -0.008, 
97, 0, 34.495, -0.936,  0.000,  0.000,  0.000, -0.031, 
98, 0, 34.886, -0.956,  0.000,  0.000,  0.000, -0.053, 
99, 0, 35.283, -0.985,  0.000,  0.000,  0.000, -0.073, 
100, 0, 35.686, -1.019,  0.000,  0.000,  0.000, -0.085, 
101, 0, 36.064, -1.050,  0.000,  0.000,  0.000, -0.078, 
102, 0, 36.459, -1.074,  0.000,  0.000,  0.000, -0.055, 
103, 0, 36.857, -1.088,  0.000,  0.000,  0.000, -0.038, 
104, 0, 37.252, -1.105,  0.000,  0.000,  0.000, -0.043, 
105, 0, 37.645, -1.125,  0.000,  0.000,  0.000, -0.052, 
106, 0, 38.043, -1.159,  0.000,  0.000,  0.000, -0.082, 
107, 0, 38.430, -1.189,  0.000,  0.000,  0.000, -0.072, 
