count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
2, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
3, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
4, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
5, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
6, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
7, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
8, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
9, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
10, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
11, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
12, 0, 81.055, -3.578,  0.000,  0.000,  0.000, -1.613, 
13, 0, 81.054, -3.593,  0.000,  0.000,  0.000, -1.615, 
14, 0, 81.052, -3.624,  0.000,  0.000,  0.000, -1.618, 
15, 0, 81.047, -3.739,  0.000,  0.000,  0.000, -1.617, 
16, 0, 81.045, -3.869,  0.000,  0.000,  0.000, -1.599, 
17, 0, 81.068, -4.065,  0.000,  0.000,  0.000, -1.495, 
18, 0, 81.117, -4.335,  0.000,  0.000,  0.000, -1.410, 
19, 0, 81.179, -4.688,  0.000,  0.000,  0.000, -1.401, 
20, 0, 81.245, -5.083,  0.000,  0.000,  0.000, -1.403, 
21, 0, 81.314, -5.480,  0.000,  0.000,  0.000, -1.403, 
22, 0, 81.375, -5.880,  0.000,  0.000,  0.000, -1.421, 
23, 0, 81.407, -6.274,  0.000,  0.000,  0.000, -1.488, 
24, 0, 81.431, -6.655,  0.000,  0.000,  0.000, -1.513, 
25, 0, 81.445, -7.040,  0.000,  0.000,  0.000, -1.529, 
26, 0, 81.460, -7.424,  0.000,  0.000,  0.000, -1.538, 
27, 0, 81.468, -7.810,  0.000,  0.000,  0.000, -1.545, 
28, 0, 81.479, -8.193,  0.000,  0.000,  0.000, -1.544, 
29, 0, 81.492, -8.577,  0.000,  0.000,  0.000, -1.537, 
30, 0, 81.508, -8.963,  0.000,  0.000,  0.000, -1.527, 
31, 0, 81.525, -9.355,  0.000,  0.000,  0.000, -1.528, 
32, 0, 81.542, -9.745,  0.000,  0.000,  0.000, -1.523, 
33, 0, 81.562, -10.136,  0.000,  0.000,  0.000, -1.517, 
34, 0, 81.584, -10.530,  0.000,  0.000,  0.000, -1.514, 
35, 0, 81.612, -10.923,  0.000,  0.000,  0.000, -1.499, 
36, 0, 81.642, -11.318,  0.000,  0.000,  0.000, -1.497, 
37, 0, 81.667, -11.711,  0.000,  0.000,  0.000, -1.507, 
38, 0, 81.689, -12.105,  0.000,  0.000,  0.000, -1.515, 
39, 0, 81.696, -12.485,  0.000,  0.000,  0.000, -1.561, 
40, 0, 81.664, -12.891,  0.000,  0.000,  0.000, -1.650, 
41, 0, 81.630, -13.282,  0.000,  0.000,  0.000, -1.652, 
42, 0, 81.604, -13.683,  0.000,  0.000,  0.000, -1.635, 
43, 0, 81.583, -14.085,  0.000,  0.000,  0.000, -1.626, 
44, 0, 81.563, -14.480,  0.000,  0.000,  0.000, -1.620, 
45, 0, 81.527, -14.850,  0.000,  0.000,  0.000, -1.682, 
46, 0, 81.423, -15.214,  0.000,  0.000,  0.000, -1.859, 
47, 0, 81.269, -15.579,  0.000,  0.000,  0.000, -1.970, 
48, 0, 81.091, -15.933,  0.000,  0.000,  0.000, -2.036, 
49, 0, 80.911, -16.287,  0.000,  0.000,  0.000, -2.040, 
50, 0, 80.733, -16.642,  0.000,  0.000,  0.000, -2.038, 
51, 0, 80.555, -16.996,  0.000,  0.000,  0.000, -2.034, 
52, 0, 80.398, -17.312,  0.000,  0.000,  0.000, -2.030, 
53, 0, 80.303, -17.493,  0.000,  0.000,  0.000, -2.050, 
54, 0, 80.202, -17.679,  0.000,  0.000,  0.000, -2.064, 
55, 0, 80.025, -17.963,  0.000,  0.000,  0.000, -2.121, 
56, 0, 79.922, -18.135,  0.000,  0.000,  0.000, -2.118, 
57, 0, 79.901, -18.144,  0.000,  0.000,  0.000, -2.182, 
58, 0, 79.897, -18.154,  0.000,  0.000,  0.000, -2.173, 
59, 0, 79.891, -18.162,  0.000,  0.000,  0.000, -2.174, 
60, 0, 79.886, -18.169,  0.000,  0.000,  0.000, -2.174, 
