count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 0, 88.292, -5.876,  0.000, 
2, 0, 78.130, -4.254,  0.000, 
2, 0, 89.457, -4.586,  0.000, 
2, 0, 88.382, -8.814,  0.000, 
2, 0, 79.231, -5.597,  0.000, 
2, 0, 88.602, -8.107,  0.000, 
2, 0, 87.224, -11.911,  0.000, 
2, 0, 79.103, -4.972,  0.000, 
2, 0, 88.273, -9.992,  0.000, 
2, 0, 80.107, -6.461,  0.000, 
2, 0, 80.046, -6.527,  0.000, 
2, 0, 69.346, -24.381,  0.000, 
2, 0, 87.023, -14.116,  0.000, 
2, 0, 71.597, -4.510,  0.000, 
2, 0, 79.464, -7.013,  0.000, 

3, 0, 88.318, -5.663,  0.000, 
3, 0, 78.155, -4.300,  0.000, 
3, 0, 89.235, -5.121,  0.000, 
3, 0, 88.559, -8.257,  0.000, 
3, 0, 79.083, -4.930,  0.000, 
3, 0, 80.108, -6.440,  0.000, 
3, 0, 79.951, -6.393,  0.000, 
3, 0, 86.624, -14.138,  0.000, 
3, 0, 84.566, -17.428,  0.000, 
3, 0, 79.272, -5.670,  0.000, 
3, 0, 70.677, -12.430,  0.000, 
3, 0, 87.137, -12.020,  0.000, 
3, 0, 88.561, -9.350,  0.000, 
3, 0, 80.653, -12.563,  0.000, 

4, 0, 88.308, -5.747,  0.000, 
4, 0, 78.130, -4.245,  0.000, 
4, 0, 89.220, -5.102,  0.000, 
4, 0, 88.832, -7.416,  0.000, 
4, 0, 79.085, -4.922,  0.000, 
4, 0, 80.106, -6.454,  0.000, 
4, 0, 79.930, -6.371,  0.000, 
4, 0, 86.549, -13.415,  0.000, 
4, 0, 84.554, -17.380,  0.000, 
4, 0, 79.266, -5.657,  0.000, 
4, 0, 70.682, -12.442,  0.000, 
4, 0, 88.071, -9.676,  0.000, 
4, 0, 88.523, -9.428,  0.000, 
4, 0, 80.662, -12.563,  0.000, 
4, 0, 89.435, -4.254,  0.000, 
4, 0, 89.368, -5.380,  0.000, 
4, 0, 82.978, -21.438,  0.000, 

5, 0, 88.317, -5.655,  0.000, 
5, 0, 78.127, -4.245,  0.000, 
5, 0, 89.229, -5.103,  0.000, 
5, 0, 88.205, -5.999,  0.000, 
5, 0, 79.120, -4.959,  0.000, 
5, 0, 80.110, -6.441,  0.000, 
5, 0, 88.673, -7.824,  0.000, 
5, 0, 84.410, -17.391,  0.000, 
5, 0, 79.217, -5.629,  0.000, 
5, 0, 70.678, -12.446,  0.000, 
5, 0, 80.660, -12.606,  0.000, 
5, 0, 89.432, -4.609,  0.000, 
5, 0, 83.223, -20.652,  0.000, 
5, 0, 86.162, -14.198,  0.000, 
5, 0, 79.275, -5.667,  0.000, 

6, 0, 88.297, -5.751,  0.000, 
6, 0, 78.147, -4.303,  0.000, 
6, 0, 89.229, -5.103,  0.000, 
6, 0, 79.109, -4.959,  0.000, 
6, 0, 80.084, -6.434,  0.000, 
6, 0, 84.563, -17.356,  0.000, 
6, 0, 79.217, -5.629,  0.000, 
6, 0, 70.672, -12.451,  0.000, 
6, 0, 80.662, -12.571,  0.000, 
6, 0, 83.293, -20.931,  0.000, 
6, 0, 86.163, -14.200,  0.000, 
6, 0, 79.258, -5.682,  0.000, 
6, 0, 79.940, -6.379,  0.000, 
6, 0, 86.985, -12.391,  0.000, 
6, 0, 88.550, -8.261,  0.000, 
6, 0, 87.683, -10.659,  0.000, 
6, 0, 88.074, -9.666,  0.000, 
6, 0, 88.296, -9.112,  0.000, 

7, 0, 88.300, -5.673,  0.000, 
7, 0, 78.146, -4.303,  0.000, 
7, 0, 89.229, -5.112,  0.000, 
7, 0, 79.081, -4.935,  0.000, 
7, 0, 80.077, -6.435,  0.000, 
7, 0, 84.533, -17.356,  0.000, 
7, 0, 79.271, -5.654,  0.000, 
7, 0, 70.678, -12.446,  0.000, 
7, 0, 80.662, -12.555,  0.000, 
7, 0, 83.284, -20.990,  0.000, 
7, 0, 86.097, -14.337,  0.000, 
7, 0, 79.959, -6.382,  0.000, 
7, 0, 88.075, -9.667,  0.000, 
7, 0, 88.598, -8.115,  0.000, 
7, 0, 88.778, -7.555,  0.000, 
7, 0, 89.425, -4.262,  0.000, 
7, 0, 89.349, -5.385,  0.000, 

8, 0, 88.330, -5.658,  0.000, 
8, 0, 78.121, -4.250,  0.000, 
8, 0, 89.220, -5.110,  0.000, 
8, 0, 79.070, -4.919,  0.000, 
8, 0, 80.106, -6.453,  0.000, 
8, 0, 84.552, -17.372,  0.000, 
8, 0, 79.283, -5.637,  0.000, 
8, 0, 70.660, -12.425,  0.000, 
8, 0, 82.963, -21.454,  0.000, 
8, 0, 86.625, -14.114,  0.000, 
8, 0, 79.922, -6.383,  0.000, 
8, 0, 89.433, -4.262,  0.000, 
8, 0, 87.103, -12.172,  0.000, 
8, 0, 78.153, -4.332,  0.000, 

9, 0, 88.329, -5.665,  0.000, 
9, 0, 78.126, -4.249,  0.000, 
9, 0, 89.221, -5.102,  0.000, 
9, 0, 79.108, -4.974,  0.000, 
9, 0, 79.946, -6.365,  0.000, 
9, 0, 84.573, -17.398,  0.000, 
9, 0, 79.280, -5.644,  0.000, 
9, 0, 70.659, -12.426,  0.000, 
9, 0, 83.303, -20.998,  0.000, 
