count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 0, -19.282, -41.762,  0.000,  0.000,  0.000, -1.474, 
2, 0, -19.282, -41.762,  0.000,  0.000,  0.000, -1.474, 
3, 0, -19.282, -41.762,  0.000,  0.000,  0.000, -1.474, 
4, 0, -19.282, -41.762,  0.000,  0.000,  0.000, -1.474, 
5, 0, -19.282, -41.762,  0.000,  0.000,  0.000, -1.474, 
6, 0, -19.280, -41.785,  0.000,  0.000,  0.000, -1.474, 
7, 0, -19.271, -41.874,  0.000,  0.000,  0.000, -1.473, 
8, 0, -19.258, -41.987,  0.000,  0.000,  0.000, -1.466, 
9, 0, -19.236, -42.141,  0.000,  0.000,  0.000, -1.446, 
10, 0, -19.209, -42.345,  0.000,  0.000,  0.000, -1.440, 
11, 0, -19.169, -42.611,  0.000,  0.000,  0.000, -1.424, 
12, 0, -19.114, -42.940,  0.000,  0.000,  0.000, -1.404, 
13, 0, -19.043, -43.331,  0.000,  0.000,  0.000, -1.388, 
14, 0, -18.968, -43.703,  0.000,  0.000,  0.000, -1.369, 
15, 0, -18.882, -44.085,  0.000,  0.000,  0.000, -1.347, 
16, 0, -18.776, -44.463,  0.000,  0.000,  0.000, -1.296, 
17, 0, -18.665, -44.842,  0.000,  0.000,  0.000, -1.296, 
18, 0, -18.576, -45.227,  0.000,  0.000,  0.000, -1.348, 
19, 0, -18.525, -45.620,  0.000,  0.000,  0.000, -1.449, 
20, 0, -18.493, -46.013,  0.000,  0.000,  0.000, -1.486, 
21, 0, -18.458, -46.399,  0.000,  0.000,  0.000, -1.481, 
22, 0, -18.419, -46.801,  0.000,  0.000,  0.000, -1.471, 
23, 0, -18.379, -47.181,  0.000,  0.000,  0.000, -1.462, 
24, 0, -18.324, -47.571,  0.000,  0.000,  0.000, -1.425, 
25, 0, -18.250, -47.961,  0.000,  0.000,  0.000, -1.388, 
26, 0, -18.170, -48.348,  0.000,  0.000,  0.000, -1.364, 
27, 0, -18.090, -48.735,  0.000,  0.000,  0.000, -1.371, 
28, 0, -18.013, -49.130,  0.000,  0.000,  0.000, -1.380, 
29, 0, -17.947, -49.501,  0.000,  0.000,  0.000, -1.393, 
30, 0, -17.878, -49.897,  0.000,  0.000,  0.000, -1.397, 
31, 0, -17.811, -50.277,  0.000,  0.000,  0.000, -1.396, 
32, 0, -17.744, -50.663,  0.000,  0.000,  0.000, -1.400, 
33, 0, -17.681, -51.060,  0.000,  0.000,  0.000, -1.412, 
34, 0, -17.625, -51.443,  0.000,  0.000,  0.000, -1.429, 
35, 0, -17.578, -51.835,  0.000,  0.000,  0.000, -1.451, 
36, 0, -17.528, -52.217,  0.000,  0.000,  0.000, -1.437, 
37, 0, -17.473, -52.609,  0.000,  0.000,  0.000, -1.431, 
38, 0, -17.415, -53.002,  0.000,  0.000,  0.000, -1.423, 
39, 0, -17.357, -53.394,  0.000,  0.000,  0.000, -1.426, 
40, 0, -17.309, -53.789,  0.000,  0.000,  0.000, -1.450, 
41, 0, -17.266, -54.194,  0.000,  0.000,  0.000, -1.468, 
42, 0, -17.232, -54.581,  0.000,  0.000,  0.000, -1.481, 
43, 0, -17.194, -54.961,  0.000,  0.000,  0.000, -1.474, 
44, 0, -17.153, -55.356,  0.000,  0.000,  0.000, -1.464, 
45, 0, -17.108, -55.736,  0.000,  0.000,  0.000, -1.456, 
46, 0, -17.063, -56.124,  0.000,  0.000,  0.000, -1.454, 
47, 0, -17.013, -56.520,  0.000,  0.000,  0.000, -1.446, 
48, 0, -16.965, -56.912,  0.000,  0.000,  0.000, -1.446, 
49, 0, -16.915, -57.307,  0.000,  0.000,  0.000, -1.449, 
50, 0, -16.867, -57.701,  0.000,  0.000,  0.000, -1.451, 
51, 0, -16.820, -58.096,  0.000,  0.000,  0.000, -1.453, 
52, 0, -16.771, -58.490,  0.000,  0.000,  0.000, -1.449, 
53, 0, -16.719, -58.884,  0.000,  0.000,  0.000, -1.437, 
54, 0, -16.670, -59.281,  0.000,  0.000,  0.000, -1.445, 
55, 0, -16.625, -59.649,  0.000,  0.000,  0.000, -1.447, 
56, 0, -16.573, -60.045,  0.000,  0.000,  0.000, -1.440, 
57, 0, -16.522, -60.440,  0.000,  0.000,  0.000, -1.447, 
58, 0, -16.468, -60.834,  0.000,  0.000,  0.000, -1.432, 
59, 0, -16.408, -61.226,  0.000,  0.000,  0.000, -1.416, 
60, 0, -16.343, -61.610,  0.000,  0.000,  0.000, -1.405, 
61, 0, -16.276, -62.001,  0.000,  0.000,  0.000, -1.402, 
62, 0, -16.212, -62.392,  0.000,  0.000,  0.000, -1.411, 
63, 0, -16.168, -62.779,  0.000,  0.000,  0.000, -1.463, 
64, 0, -16.128, -63.173,  0.000,  0.000,  0.000, -1.473, 
65, 0, -16.082, -63.568,  0.000,  0.000,  0.000, -1.454, 
66, 0, -16.033, -63.953,  0.000,  0.000,  0.000, -1.442, 
67, 0, -15.983, -64.348,  0.000,  0.000,  0.000, -1.442, 
68, 0, -15.936, -64.743,  0.000,  0.000,  0.000, -1.458, 
69, 0, -15.897, -65.141,  0.000,  0.000,  0.000, -1.470, 
70, 0, -15.854, -65.536,  0.000,  0.000,  0.000, -1.462, 
71, 0, -15.811, -65.921,  0.000,  0.000,  0.000, -1.464, 
72, 0, -15.777, -66.316,  0.000,  0.000,  0.000, -1.486, 
73, 0, -15.753, -66.713,  0.000,  0.000,  0.000, -1.512, 
74, 0, -15.735, -67.111,  0.000,  0.000,  0.000, -1.526, 
75, 0, -15.729, -67.509,  0.000,  0.000,  0.000, -1.555, 
76, 0, -15.727, -67.906,  0.000,  0.000,  0.000, -1.570, 
77, 0, -15.731, -68.296,  0.000,  0.000,  0.000, -1.579, 
78, 0, -15.735, -68.683,  0.000,  0.000,  0.000, -1.580, 
79, 0, -15.727, -69.058,  0.000,  0.000,  0.000, -1.544, 
80, 0, -15.708, -69.443,  0.000,  0.000,  0.000, -1.528, 
81, 0, -15.668, -69.800,  0.000,  0.000,  0.000, -1.445, 
82, 0, -15.538, -70.161,  0.000,  0.000,  0.000, -1.223, 
83, 0, -15.363, -70.515,  0.000,  0.000,  0.000, -1.123, 
84, 0, -15.158, -70.825,  0.000,  0.000,  0.000, -0.971, 
85, 0, -14.899, -71.125,  0.000,  0.000,  0.000, -0.857, 
86, 0, -14.619, -71.400,  0.000,  0.000,  0.000, -0.772, 
87, 0, -14.343, -71.627,  0.000,  0.000,  0.000, -0.688, 
88, 0, -14.015, -71.847,  0.000,  0.000,  0.000, -0.583, 
89, 0, -13.695, -72.040,  0.000,  0.000,  0.000, -0.542, 
90, 0, -13.447, -72.180,  0.000,  0.000,  0.000, -0.515, 
91, 0, -13.202, -72.307,  0.000,  0.000,  0.000, -0.487, 
92, 0, -12.947, -72.411,  0.000,  0.000,  0.000, -0.384, 
93, 0, -12.682, -72.492,  0.000,  0.000,  0.000, -0.315, 
94, 0, -12.414, -72.536,  0.000,  0.000,  0.000, -0.176, 
95, 0, -12.119, -72.553,  0.000,  0.000,  0.000, -0.085, 
96, 0, -11.795, -72.614,  0.000,  0.000,  0.000, -0.189, 
97, 0, -11.498, -72.712,  0.000,  0.000,  0.000, -0.320, 
98, 0, -11.224, -72.861,  0.000,  0.000,  0.000, -0.490, 
99, 0, -10.908, -73.036,  0.000,  0.000,  0.000, -0.510, 
100, 0, -10.563, -73.225,  0.000,  0.000,  0.000, -0.492, 
101, 0, -10.209, -73.385,  0.000,  0.000,  0.000, -0.418, 
102, 0, -9.842, -73.520,  0.000,  0.000,  0.000, -0.351, 
103, 0, -9.482, -73.627,  0.000,  0.000,  0.000, -0.288, 
104, 0, -9.098, -73.704,  0.000,  0.000,  0.000, -0.189, 
105, 0, -8.709, -73.738,  0.000,  0.000,  0.000, -0.079, 
106, 0, -8.318, -73.733,  0.000,  0.000, -0.000,  0.013, 
107, 0, -7.925, -73.718,  0.000,  0.000, -0.000,  0.035, 
108, 0, -7.541, -73.693,  0.000,  0.000, -0.000,  0.072, 
109, 0, -7.152, -73.659,  0.000,  0.000, -0.000,  0.080, 
110, 0, -6.759, -73.641,  0.000,  0.000, -0.000,  0.044, 
111, 0, -6.367, -73.635,  0.000,  0.000, -0.000,  0.014, 
112, 0, -5.975, -73.623,  0.000,  0.000, -0.000,  0.039, 
113, 0, -5.584, -73.585,  0.000,  0.000, -0.000,  0.096, 
114, 0, -5.195, -73.540,  0.000,  0.000, -0.000,  0.110, 
115, 0, -4.811, -73.505,  0.000,  0.000, -0.000,  0.088, 
116, 0, -4.416, -73.485,  0.000,  0.000, -0.000,  0.054, 
117, 0, -4.024, -73.474,  0.000,  0.000, -0.000,  0.025, 
118, 0, -3.627, -73.480,  0.000,  0.000,  0.000, -0.013, 
119, 0, -3.232, -73.474,  0.000,  0.000, -0.000,  0.018, 
120, 0, -2.837, -73.456,  0.000,  0.000, -0.000,  0.046, 
121, 0, -2.441, -73.439,  0.000,  0.000, -0.000,  0.044, 
122, 0, -2.050, -73.420,  0.000,  0.000, -0.000,  0.046, 
123, 0, -1.644, -73.400,  0.000,  0.000, -0.000,  0.052, 
124, 0, -1.255, -73.372,  0.000,  0.000, -0.000,  0.082, 
125, 0, -0.872, -73.317,  0.000,  0.000, -0.000,  0.144, 
126, 0, -0.489, -73.233,  0.000,  0.000, -0.000,  0.224, 
127, 0, -0.116, -73.105,  0.000,  0.000, -0.000,  0.329, 
128, 0,  0.241, -72.945,  0.000,  0.000, -0.000,  0.430, 
129, 0,  0.586, -72.757,  0.000,  0.000, -0.000,  0.500, 
130, 0,  0.924, -72.556,  0.000,  0.000, -0.000,  0.531, 
131, 0,  1.259, -72.356,  0.000,  0.000, -0.000,  0.542, 
132, 0,  1.575, -72.143,  0.000,  0.000, -0.000,  0.600, 
133, 0,  1.881, -71.905,  0.000,  0.000, -0.000,  0.665, 
134, 0,  2.170, -71.652,  0.000,  0.000, -0.000,  0.727, 
135, 0,  2.443, -71.382,  0.000,  0.000, -0.000,  0.783, 
136, 0,  2.693, -71.092,  0.000,  0.000, -0.000,  0.868, 
137, 0,  2.911, -70.785,  0.000,  0.000, -0.000,  0.951, 
138, 0,  3.120, -70.453,  0.000,  0.000, -0.000,  1.017, 
139, 0,  3.313, -70.100,  0.000,  0.000, -0.000,  1.070, 
140, 0,  3.471, -69.757,  0.000,  0.000, -0.000,  1.157, 
141, 0,  3.571, -69.409,  0.000,  0.000, -0.000,  1.296, 
142, 0,  3.590, -69.092,  0.000,  0.000, -0.000,  1.507, 
143, 0,  3.528, -68.748,  0.000,  0.000, -0.000,  1.749, 
144, 0,  3.408, -68.463,  0.000,  0.000, -0.000,  1.961, 
145, 0,  3.196, -68.185,  0.000,  0.000, -0.000,  2.223, 
146, 0,  2.930, -67.958,  0.000,  0.000, -0.000,  2.436, 
147, 0,  2.616, -67.798,  0.000,  0.000, -0.000,  2.682, 
148, 0,  2.262, -67.703,  0.000,  0.000, -0.000,  2.884, 
149, 0,  1.890, -67.667,  0.000,  0.000, -0.000,  3.043, 
150, 0,  1.494, -67.656,  0.000,  0.000, -0.000,  3.102, 
151, 0,  1.127, -67.652,  0.000,  0.000, -0.000,  3.136, 
152, 0,  0.739, -67.666,  0.000,  0.000,  0.000, -3.100, 
153, 0,  0.354, -67.692,  0.000,  0.000,  0.000, -3.078, 
154, 0, -0.002, -67.709,  0.000,  0.000,  0.000, -3.095, 
155, 0, -0.393, -67.715,  0.000,  0.000,  0.000, -3.133, 
156, 0, -0.720, -67.699,  0.000,  0.000, -0.000,  3.089, 
157, 0, -0.942, -67.633,  0.000,  0.000, -0.000,  2.892, 
158, 0, -1.198, -67.473,  0.000,  0.000, -0.000,  2.609, 
159, 0, -1.411, -67.273,  0.000,  0.000, -0.000,  2.399, 
160, 0, -1.565, -67.040,  0.000,  0.000, -0.000,  2.177, 
161, 0, -1.661, -66.751,  0.000,  0.000, -0.000,  1.912, 
162, 0, -1.684, -66.464,  0.000,  0.000, -0.000,  1.664, 
163, 0, -1.613, -66.190,  0.000,  0.000, -0.000,  1.341, 
164, 0, -1.447, -65.932,  0.000,  0.000, -0.000,  1.018, 
165, 0, -1.216, -65.728,  0.000,  0.000, -0.000,  0.736, 
166, 0, -0.959, -65.615,  0.000,  0.000, -0.000,  0.443, 
167, 0, -0.613, -65.562,  0.000,  0.000, -0.000,  0.159, 
168, 0, -0.215, -65.555,  0.000,  0.000, -0.000,  0.024, 
169, 0,  0.170, -65.585,  0.000,  0.000,  0.000, -0.092, 
170, 0,  0.556, -65.662,  0.000,  0.000,  0.000, -0.198, 
171, 0,  0.908, -65.757,  0.000,  0.000,  0.000, -0.259, 
172, 0,  1.289, -65.842,  0.000,  0.000,  0.000, -0.207, 
173, 0,  1.668, -65.898,  0.000,  0.000,  0.000, -0.145, 
174, 0,  2.062, -65.945,  0.000,  0.000,  0.000, -0.130, 
175, 0,  2.446, -66.011,  0.000,  0.000,  0.000, -0.175, 
176, 0,  2.817, -66.098,  0.000,  0.000,  0.000, -0.227, 
