count, time, abs_prox_x, abs_prox_y, abs_prox_z, 

2, 0, -20.402, -43.584,  0.000, 
2, 0, -15.012, -43.349,  0.000, 
2, 0, -14.536, -41.866,  0.000, 
2, 0, -22.521, -48.300,  0.000, 
2, 0, -23.484, -42.422,  0.000, 

3, 0, -20.397, -43.582,  0.000, 
3, 0, -14.536, -41.866,  0.000, 
3, 0, -22.521, -48.318,  0.000, 
3, 0, -23.490, -42.479,  0.000, 
3, 0, -27.266, -49.784,  0.000, 

4, 0, -20.397, -43.590,  0.000, 
4, 0, -14.548, -41.813,  0.000, 
4, 0, -22.518, -48.309,  0.000, 
4, 0, -23.473, -42.499,  0.000, 
4, 0, -27.266, -49.784,  0.000, 
4, 0, -11.552, -40.330,  0.000, 
4, 0, -15.001, -43.266,  0.000, 
4, 0, -15.006, -43.347,  0.000, 

5, 0, -20.401, -43.591,  0.000, 
5, 0, -14.534, -41.786,  0.000, 
5, 0, -22.515, -48.304,  0.000, 
5, 0, -23.482, -42.495,  0.000, 
5, 0, -27.269, -49.804,  0.000, 
5, 0, -11.542, -40.336,  0.000, 
5, 0, -15.013, -43.262,  0.000, 
5, 0, -15.018, -43.342,  0.000, 
5, 0, -14.894, -42.688,  0.000, 

6, 0, -20.430, -43.569,  0.000, 
6, 0, -22.516, -48.316,  0.000, 
6, 0, -23.471, -42.543,  0.000, 
6, 0, -27.261, -49.821,  0.000, 
6, 0, -11.545, -40.368,  0.000, 
6, 0, -14.990, -43.283,  0.000, 
6, 0, -15.016, -43.341,  0.000, 
6, 0, -26.261, -49.745,  0.000, 
6, 0, -14.530, -41.831,  0.000, 

7, 0, -20.395, -43.638,  0.000, 
7, 0, -22.529, -48.369,  0.000, 
7, 0, -23.483, -42.458,  0.000, 
7, 0, -15.016, -43.431,  0.000, 
7, 0, -14.538, -41.859,  0.000, 
7, 0, -14.694, -42.844,  0.000, 
7, 0, -11.299, -61.661,  0.000, 
7, 0, -15.077, -43.428,  0.000, 
7, 0, -11.518, -40.477,  0.000, 
7, 0, -27.289, -49.834,  0.000, 

8, 0, -20.392, -43.655,  0.000, 
8, 0, -22.511, -48.359,  0.000, 
8, 0, -23.480, -42.469,  0.000, 
8, 0, -14.995, -43.427,  0.000, 
8, 0, -14.549, -41.920,  0.000, 
8, 0, -11.523, -40.442,  0.000, 
8, 0, -26.289, -49.765,  0.000, 

9, 0, -20.376, -43.654,  0.000, 
9, 0, -22.501, -48.412,  0.000, 
9, 0, -23.466, -42.612,  0.000, 
9, 0, -15.007, -43.439,  0.000, 
9, 0, -14.536, -41.956,  0.000, 
9, 0, -15.019, -43.421,  0.000, 
9, 0, -29.500, -48.304,  0.000, 

10, 0, -20.388, -43.660,  0.000, 
10, 0, -22.458, -48.392,  0.000, 
10, 0, -23.486, -42.580,  0.000, 
10, 0, -15.003, -43.333,  0.000, 
10, 0, -14.583, -41.987,  0.000, 
10, 0, -14.992, -43.381,  0.000, 
10, 0, -11.146, -61.685,  0.000, 
10, 0, -21.856, -43.100,  0.000, 
10, 0, -7.399, -39.775,  0.000, 

11, 0, -15.003, -43.438,  0.000, 
11, 0, -11.614, -61.693,  0.000, 
11, 0, -7.338, -40.049,  0.000, 
11, 0, -20.381, -43.692,  0.000, 
11, 0, -14.525, -41.917,  0.000, 
11, 0, -29.529, -48.254,  0.000, 

12, 0, -15.031, -43.674,  0.000, 
12, 0, -11.537, -61.640,  0.000, 
12, 0, -20.399, -43.649,  0.000, 
12, 0, -15.047, -43.405,  0.000, 
12, 0, -22.529, -48.375,  0.000, 
12, 0, -14.040, -50.294,  0.000, 
12, 0, -26.278, -49.773,  0.000, 
12, 0, -15.021, -43.333,  0.000, 
12, 0, -13.222, -64.651,  0.000, 

13, 0, -15.020, -43.967,  0.000, 
13, 0, -11.888, -61.890,  0.000, 
13, 0, -20.371, -43.686,  0.000, 
13, 0, -15.046, -43.482,  0.000, 
13, 0, -22.547, -48.397,  0.000, 
13, 0, -15.034, -43.644,  0.000, 
13, 0, -22.008, -55.500,  0.000, 
13, 0, -14.503, -42.083,  0.000, 
13, 0, -18.274, -53.703,  0.000, 
13, 0, -21.870, -43.223,  0.000, 
13, 0, -29.566, -48.180,  0.000, 
13, 0, -14.079, -50.329,  0.000, 

14, 0, -15.021, -43.746,  0.000, 
14, 0, -22.572, -48.356,  0.000, 
14, 0, -20.356, -43.726,  0.000, 
14, 0, -29.522, -48.249,  0.000, 
14, 0, -14.096, -50.355,  0.000, 
14, 0, -15.035, -44.176,  0.000, 
14, 0, -15.021, -43.425,  0.000, 
14, 0, -22.015, -55.489,  0.000, 
14, 0, -22.745, -53.502,  0.000, 
14, 0, -15.048, -43.462,  0.000, 
14, 0, -13.384, -64.694,  0.000, 

15, 0, -15.023, -44.116,  0.000, 
15, 0, -22.536, -48.398,  0.000, 
15, 0, -14.090, -50.350,  0.000, 
15, 0, -15.019, -43.744,  0.000, 
15, 0, -21.803, -55.573,  0.000, 
15, 0, -22.197, -49.468,  0.000, 
15, 0, -26.393, -49.606,  0.000, 

16, 0, -15.049, -44.548,  0.000, 
16, 0, -22.596, -48.286,  0.000, 
16, 0, -14.213, -50.454,  0.000, 
16, 0, -22.264, -49.379,  0.000, 
16, 0, -14.977, -44.515,  0.000, 
16, 0, -29.503, -48.231,  0.000, 
16, 0, -12.062, -61.877,  0.000, 

17, 0, -15.043, -44.729,  0.000, 
17, 0, -22.512, -48.361,  0.000, 
17, 0, -14.974, -44.712,  0.000, 
17, 0, -14.996, -45.347,  0.000, 

18, 0, -15.046, -44.965,  0.000, 
18, 0, -22.512, -48.356,  0.000, 
18, 0, -14.939, -45.230,  0.000, 
18, 0, -14.993, -44.440,  0.000, 
18, 0, -14.977, -44.870,  0.000, 
18, 0, -21.876, -55.527,  0.000, 
18, 0, -22.197, -49.441,  0.000, 
18, 0, -22.021, -65.661,  0.000, 
18, 0, -15.004, -45.542,  0.000, 

19, 0, -14.976, -45.570,  0.000, 
19, 0, -22.442, -48.468,  0.000, 
19, 0, -14.950, -45.462,  0.000, 
19, 0, -14.945, -45.209,  0.000, 
19, 0, -21.914, -55.512,  0.000, 
19, 0, -22.054, -49.579,  0.000, 
19, 0, -14.919, -46.080,  0.000, 
19, 0, -13.942, -50.253,  0.000, 
19, 0, -11.018, -62.161,  0.000, 

20, 0, -14.960, -46.065,  0.000, 
20, 0, -22.559, -48.339,  0.000, 
20, 0, -14.933, -45.823,  0.000, 
20, 0, -14.919, -45.794,  0.000, 
20, 0, -22.296, -49.422,  0.000, 
20, 0, -14.080, -50.385,  0.000, 
20, 0, -12.264, -62.765,  0.000, 
20, 0, -14.988, -45.023,  0.000, 
20, 0, -14.951, -45.788,  0.000, 
20, 0, -14.943, -45.304,  0.000, 
20, 0, -16.383, -63.965,  0.000, 
20, 0, -29.450, -48.345,  0.000, 
20, 0, -14.880, -47.351,  0.000, 

21, 0, -14.964, -46.210,  0.000, 
21, 0, -22.590, -48.278,  0.000, 
21, 0, -22.228, -49.415,  0.000, 
21, 0, -11.802, -63.113,  0.000, 
21, 0, -15.924, -63.055,  0.000, 
21, 0, -29.461, -48.559,  0.000, 
21, 0, -14.907, -47.397,  0.000, 
21, 0, -22.964, -53.445,  0.000, 
21, 0, -14.191, -50.561,  0.000, 
21, 0, -22.318, -55.402,  0.000, 

22, 0, -14.940, -46.585,  0.000, 
22, 0, -22.577, -48.281,  0.000, 
22, 0, -22.282, -49.393,  0.000, 
22, 0, -11.835, -63.095,  0.000, 
22, 0, -16.460, -62.516,  0.000, 
22, 0, -14.922, -47.709,  0.000, 
22, 0, -23.066, -53.365,  0.000, 
22, 0, -14.189, -50.555,  0.000, 
22, 0, -22.423, -55.374,  0.000, 
22, 0, -14.945, -46.957,  0.000, 
22, 0, -14.954, -46.981,  0.000, 
22, 0, -18.831, -53.776,  0.000, 
22, 0, -29.479, -48.618,  0.000, 

23, 0, -14.954, -47.201,  0.000, 
23, 0, -22.592, -48.256,  0.000, 
23, 0, -22.259, -49.370,  0.000, 
23, 0, -11.930, -63.139,  0.000, 
23, 0, -14.897, -47.597,  0.000, 
23, 0, -23.053, -53.355,  0.000, 
23, 0, -14.265, -50.603,  0.000, 
23, 0, -22.244, -55.414,  0.000, 
23, 0, -18.636, -53.777,  0.000, 
23, 0, -14.989, -46.980,  0.000, 
23, 0, -29.509, -47.960,  0.000, 
23, 0, -14.973, -46.890,  0.000, 

24, 0, -14.975, -47.234,  0.000, 
24, 0, -22.592, -48.220,  0.000, 
24, 0, -22.308, -49.209,  0.000, 
24, 0, -14.924, -47.588,  0.000, 
24, 0, -14.340, -50.656,  0.000, 
24, 0, -22.259, -55.414,  0.000, 
24, 0, -18.318, -53.743,  0.000, 
24, 0, -18.794, -53.748,  0.000, 
24, 0, -14.919, -47.919,  0.000, 
24, 0, -16.428, -61.023,  0.000, 

25, 0, -14.916, -47.746,  0.000, 
25, 0, -22.583, -48.282,  0.000, 
25, 0, -22.278, -49.331,  0.000, 
25, 0, -14.949, -48.082,  0.000, 
25, 0, -14.282, -50.594,  0.000, 
25, 0, -22.304, -55.399,  0.000, 
25, 0, -18.652, -53.770,  0.000, 
25, 0, -16.330, -60.167,  0.000, 
25, 0, -23.108, -53.314,  0.000, 
25, 0, -18.913, -53.699,  0.000, 
25, 0, -14.984, -47.143,  0.000, 
25, 0, -14.951, -48.537,  0.000, 
25, 0, -14.909, -48.157,  0.000, 
25, 0, -18.528, -53.736,  0.000, 

26, 0, -14.893, -48.074,  0.000, 
26, 0, -22.589, -48.688,  0.000, 
26, 0, -22.238, -49.456,  0.000, 
26, 0, -14.951, -48.524,  0.000, 
26, 0, -14.348, -50.700,  0.000, 
26, 0, -22.244, -55.433,  0.000, 
26, 0, -18.643, -53.776,  0.000, 
26, 0, -16.063, -59.789,  0.000, 
26, 0, -22.986, -53.416,  0.000, 
26, 0, -14.898, -48.517,  0.000, 
26, 0, -12.023, -49.350,  0.000, 
26, 0, -6.256, -52.095,  0.000, 
26, 0, -14.964, -47.096,  0.000, 
26, 0, -24.061, -52.223,  0.000, 

27, 0, -14.881, -48.528,  0.000, 
27, 0, -22.574, -49.035,  0.000, 
27, 0, -22.221, -49.525,  0.000, 
27, 0, -14.248, -50.584,  0.000, 
27, 0, -22.035, -55.532,  0.000, 
27, 0, -18.475, -53.787,  0.000, 
27, 0, -15.540, -58.436,  0.000, 
27, 0, -22.951, -53.428,  0.000, 
27, 0, -11.997, -49.203,  0.000, 
27, 0, -6.177, -51.786,  0.000, 
27, 0, -24.006, -52.297,  0.000, 
27, 0, -14.923, -48.503,  0.000, 
27, 0, -14.946, -48.194,  0.000, 
27, 0, -13.294, -48.964,  0.000, 
