count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
1, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
2, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
3, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
4, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
5, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.000, 
6, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
7, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
8, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
9, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
10, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
11, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
12, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
13, 0,  0.000,  0.000,  0.000,  0.000, -0.000,  0.001, 
14, 0,  0.008,  0.000,  0.000,  0.000, -0.000,  0.001, 
15, 0,  0.029,  0.000,  0.000,  0.000, -0.000,  0.001, 
16, 0,  0.101,  0.000,  0.000,  0.000, -0.000,  0.002, 
17, 0,  0.278,  0.000,  0.000,  0.000,  0.000, -0.003, 
18, 0,  0.534, -0.000,  0.000,  0.000,  0.000, -0.002, 
19, 0,  0.865,  0.001,  0.000,  0.000, -0.000,  0.000, 
20, 0,  1.251,  0.006,  0.000,  0.000, -0.000,  0.010, 
21, 0,  1.638,  0.001,  0.000,  0.000,  0.000, -0.013, 
22, 0,  2.029, -0.008,  0.000,  0.000,  0.000, -0.026, 
23, 0,  2.414, -0.018,  0.000,  0.000,  0.000, -0.023, 
24, 0,  2.802, -0.022,  0.000,  0.000,  0.000, -0.010, 
25, 0,  3.209, -0.025,  0.000,  0.000,  0.000, -0.010, 
26, 0,  3.595, -0.031,  0.000,  0.000,  0.000, -0.011, 
27, 0,  3.990, -0.032,  0.000,  0.000,  0.000, -0.002, 
28, 0,  4.385, -0.033,  0.000,  0.000,  0.000, -0.004, 
29, 0,  4.779, -0.035,  0.000,  0.000,  0.000, -0.008, 
30, 0,  5.181, -0.056,  0.000,  0.000,  0.000, -0.064, 
31, 0,  5.565, -0.102,  0.000,  0.000,  0.000, -0.119, 
32, 0,  5.950, -0.152,  0.000,  0.000,  0.000, -0.127, 
33, 0,  6.343, -0.196,  0.000,  0.000,  0.000, -0.113, 
34, 0,  6.734, -0.242,  0.000,  0.000,  0.000, -0.116, 
35, 0,  7.141, -0.278,  0.000,  0.000,  0.000, -0.084, 
36, 0,  7.486, -0.281,  0.000,  0.000,  0.000, -0.014, 
37, 0,  7.886, -0.283,  0.000,  0.000,  0.000, -0.011, 
38, 0,  8.285, -0.292,  0.000,  0.000,  0.000, -0.022, 
39, 0,  8.681, -0.297,  0.000,  0.000,  0.000, -0.009, 
40, 0,  9.073, -0.300,  0.000,  0.000,  0.000, -0.012, 
41, 0,  9.472, -0.307,  0.000,  0.000,  0.000, -0.020, 
42, 0,  9.855, -0.323,  0.000,  0.000,  0.000, -0.042, 
43, 0, 10.254, -0.350,  0.000,  0.000,  0.000, -0.069, 
